Gene AMY1A ANAPC11 ANKRD20A3 ANXA8L1 AREG ARL17B ATG4B AURKAIP1 BOLA2B BTNL8 C16orf54 C4B C6orf124 CBWD3 CCL3 CCL4 CCR2 CCR5 CCRL2 CDC37P1 CFC1 CKMT1A CLEC18A CR1 CSH D2HGDH DEFA1 DEFB103A DEFB104A DEFB105A DEFB106A DEFB107A DEFB130 DGAT1 DHRS4 DTYMK DUX4 EIF3C ELA FAM203A FAM21B FAM23A FAM72A FAM75A1 FAM75A5 FAM90A FCGBP FCGR FOXD4L2 FUSIP1 GOLGA6L9 GOLGA8G GSTM GSTT2 GTF2H2C GUSBP1 HGD HIST2 HP HRNR KIF22 KIR2DL2 KIR2DL4 KIR2DL5A KIR2DS2 KIR3DP1 KLRC2 KPNA2 KRT39 KRT40 KRTAP1-1 KRTAP2-1 KRTAP3-1 KRTAP4-1 KRTAP5-1 KRTAP7-1 KRTAP8-1 KRTAP9-1 LCE2 LIMS3 LOC100506776 LOC23117 LOC653606 LOC727800 LOC728932 LPA MAFG MGC59937 MRC1 MUC12 MUC5AC NBPF10 NBPF11 NBPF16 NDUFB4 NEB NPB NPIP ORM1 P4HB PCYT2 PGA3 PLGLB2 PPIAP21 PRAMEF14 PRAMEF20 PRAMEF5 PRAMEF8 PRR11 PRR20A_2 PRR20A_1 PSG3 PTPN20A PYCR1 REXO1L1_1 REXO1L1_2 RGPD1 RGPD6 RPS17 RSPH10B SCRT1 SCXB SERF1B SFTPA1 SIRT7 SLX1B SMN2 SNAR-A1 SPAG11 SPDYE3 SULT1A1 SULT1A3 TAS1R3 TBC1D3_1 TBC1D3_2 TCEB3C THAP4 TMEM106A TMEM167B TMPRSS11E TP53TG3 TRIM49L1 UGT2B15 USP17 ZFP62 ZG16 ZNF658B 
CHB 8 2 28 5 2 10 2 3 6 2 2 5 2 14 5 6 2 2 2 20 4 5 7 3 8 2 11 4 4 3 3 4 5 2 5 2 392 5 4 2 5 2 7 10 12 40 6 4 15 3 32 32 4 3 4 16 2 9 2 4 2 9 3 10 9 9 4 4 2 2 2 2 5 2 2 2 2 3 4 6 2 51 7 2 4 5 2 3 2 12 3 294 52 45 2 2 2 49 4 2 2 9 7 43 12 6 16 6 8 16 17 16 4 3 166 173 12 15 3 4 2 3 3 4 2 6 3 45 3 34 5 7 2 37 35 32 2 2 2 2 5 11 2 155 2 2 6 
CHB 10 2 31 4 2 5 2 3 7 2 3 5 2 13 1 3 2 2 2 18 4 5 7 3 7 2 6 5 5 4 5 5 6 2 5 2 518 4 4 2 4 2 8 12 12 62 4 3 14 2 30 34 3 4 4 13 2 9 4 1 3 8 2 7 7 4 5 3 2 2 2 2 4 2 2 2 2 4 4 5 2 51 6 2 4 6 2 3 2 12 3 338 47 46 2 2 2 51 4 2 2 7 7 49 13 6 19 7 9 12 12 16 4 3 198 212 13 15 3 4 2 2 3 4 2 8 3 56 5 31 5 7 2 27 25 22 2 2 2 2 8 19 3 101 2 2 7 
CHB 6 2 31 5 2 3 2 3 6 2 3 5 2 13 3 4 3 2 2 22 4 5 7 4 8 2 7 3 3 3 3 3 5 3 5 2 536 6 4 2 4 2 9 12 11 31 7 3 14 3 29 34 4 2 4 17 2 8 4 1 2 10 4 8 9 7 4 4 2 2 2 2 4 2 2 2 2 4 4 5 2 48 6 2 4 6 3 2 2 16 3 377 46 49 2 2 2 49 4 3 3 8 7 51 13 8 21 7 9 20 16 17 3 3 153 175 14 14 3 4 2 6 3 3 2 7 3 79 3 37 6 7 3 28 29 18 2 3 2 2 10 16 2 114 3 2 7 
CHB 13 2 29 4 2 8 2 3 6 2 2 3 2 13 7 8 2 2 2 20 4 4 8 4 7 2 4 4 4 4 4 4 6 3 5 2 405 4 3 3 4 2 8 14 12 70 6 4 14 3 27 31 4 2 4 10 2 8 4 2 2 8 4 8 8 9 4 3 2 2 2 2 5 2 2 2 2 3 4 6 2 44 5 3 4 6 2 2 2 11 2 263 45 48 2 2 2 47 4 2 2 8 8 46 13 7 15 6 8 11 11 17 4 2 129 141 15 14 3 4 2 3 3 3 2 6 3 69 4 31 2 7 2 37 37 20 2 2 2 2 6 13 3 150 2 2 6 
CHB 10 2 29 4 2 9 2 2 7 3 2 4 2 12 4 5 2 2 2 12 4 4 7 3 7 2 7 5 5 4 5 5 5 2 5 2 346 4 4 2 4 2 8 13 10 53 6 5 14 3 24 29 4 3 3 13 2 8 3 2 2 9 3 8 8 8 4 3 2 2 2 2 4 2 2 2 2 3 4 5 2 47 5 2 4 6 2 2 2 11 3 293 47 47 2 2 2 47 4 2 2 8 7 51 12 6 14 6 7 17 16 14 4 3 156 166 13 13 3 4 2 2 3 4 2 8 3 47 5 33 5 7 2 39 38 33 2 2 2 2 8 13 2 120 2 2 6 
CHB 11 2 29 4 2 4 2 2 6 2 2 4 2 14 5 4 2 2 2 16 4 4 8 3 7 2 6 3 4 4 4 4 5 2 5 2 334 4 3 2 4 2 7 12 13 49 5 3 14 3 27 27 4 4 3 13 2 8 4 4 2 10 4 8 9 9 4 3 2 2 2 2 4 2 2 2 2 3 3 6 2 44 6 2 4 5 2 2 2 10 2 189 43 45 2 2 2 46 4 2 2 10 7 50 9 7 13 5 8 12 12 14 4 2 155 153 13 14 3 4 2 0 4 4 2 6 4 50 4 31 3 6 2 38 35 23 2 2 2 2 6 15 2 124 2 2 6 
CHB 17 2 30 4 2 9 2 2 8 2 2 5 2 14 5 5 2 2 2 11 4 4 7 3 7 2 7 3 3 3 3 3 5 2 5 2 330 4 4 3 4 2 7 13 13 27 6 5 15 3 27 27 3 3 4 12 2 10 4 3 3 9 2 7 9 5 4 3 2 2 2 2 5 2 2 2 2 3 3 6 2 51 5 1 4 5 2 2 2 11 2 202 45 41 2 2 2 49 4 2 3 8 8 50 11 8 12 6 8 16 16 15 4 2 169 163 15 15 3 4 2 1 4 4 2 9 4 50 3 30 6 9 2 35 32 18 2 2 2 2 8 14 2 135 2 2 5 
CHB 15 2 30 5 2 7 2 2 8 3 3 7 2 13 6 5 2 3 2 23 4 5 10 4 9 3 8 4 4 5 4 4 6 3 5 3 363 5 4 3 5 2 7 14 14 53 8 4 14 3 33 31 3 4 4 11 2 10 4 1 3 10 4 8 9 10 4 4 2 2 2 2 5 2 2 2 2 3 4 7 3 54 6 2 4 6 2 2 2 12 3 231 53 47 2 2 2 56 5 2 3 9 8 57 8 9 18 5 9 19 18 15 4 3 203 184 18 17 3 5 3 3 3 4 2 9 3 61 4 37 5 9 2 42 43 21 2 2 2 2 4 15 2 118 2 3 5 
CHB 6 2 30 5 2 7 2 2 8 2 3 5 2 13 3 4 2 2 2 14 4 5 8 3 8 2 7 4 4 4 4 4 5 3 5 2 337 4 4 2 4 2 7 13 12 60 6 5 14 3 27 29 4 5 4 15 2 10 5 3 2 9 4 8 9 10 5 3 2 2 1 2 4 2 2 2 2 3 4 6 2 50 7 2 4 5 2 2 2 13 2 197 47 43 3 2 2 50 4 2 3 10 7 43 11 8 16 5 9 11 11 15 4 2 155 152 16 16 3 4 2 1 4 4 2 8 4 40 4 33 4 8 2 30 27 31 2 2 2 2 6 15 2 77 2 2 6 
CHB 15 2 28 5 2 7 2 3 7 3 3 5 2 11 7 6 2 2 2 6 5 5 8 4 8 2 10 5 5 5 5 6 5 2 5 2 516 5 4 2 4 2 9 12 12 51 5 8 13 3 32 31 3 3 3 19 2 10 5 1 2 10 4 9 9 9 4 4 2 2 2 2 4 2 2 2 2 3 3 6 3 50 6 3 4 7 3 3 2 14 3 359 55 58 3 2 3 48 4 3 2 8 7 52 11 8 15 5 8 45 43 19 4 3 203 219 14 15 3 4 2 4 3 4 3 7 3 59 4 35 2 7 2 46 48 12 2 3 2 2 10 15 2 133 2 2 7 
